,precision,recall,f1-score,support
Black,0.5985915492957746,0.7798165137614679,0.6772908366533864,109.0
Brown,0.7828054298642534,0.7757847533632287,0.7792792792792793,223.0
Murky,0.6875,0.6470588235294118,0.6666666666666666,34.0
No visible blood,0.7951807228915663,0.9041095890410958,0.8461538461538461,73.0
Red,0.9100877192982456,0.83,0.8682008368200836,500.0
Yellow,0.6507936507936508,0.7068965517241379,0.6776859504132231,58.0
accuracy,0.8044132397191575,0.8044132397191575,0.8044132397191575,0.8044132397191575
macro avg,0.737493178690582,0.7739443719032236,0.7525462359977476,997.0
weighted avg,0.8164745976922838,0.8044132397191575,0.8078696905159525,997.0
