,precision,recall,f1-score,support
Black,0.0,0.0,0.0,109.0
Brown,0.4444444444444444,0.8789237668161435,0.5903614457831325,223.0
Murky,0.0,0.0,0.0,34.0
No visible blood,0.0,0.0,0.0,73.0
Red,0.762589928057554,0.848,0.803030303030303,500.0
Yellow,0.0,0.0,0.0,58.0
accuracy,0.6218655967903711,0.6218655967903711,0.6218655967903711,0.6218655967903711
macro avg,0.20117239541699972,0.2878206278026906,0.2322319581355726,997.0
weighted avg,0.481851630029978,0.6218655967903711,0.5347700641171416,997.0
